time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2022-09-28,2022-09-28,X-59,,Dnipropetrovsk oblast and Zaporizhzhia oblast,Su-35,5,4,kpszsu/posts/pfbid02sjn5m7kosAfsm5bSUzpPwbLuH3kfhGHLNvB9uJukgSxqxwuDX9BWhZYYx1KMstqMl
2022-09-28,2022-09-28,Reconnaissance UAV,,Ukraine,,3,3,kpszsu/posts/pfbid0grmBx6A5LbQ7PVTkSx7jTDgg4iUoRsmnjMJYre6C5HCjANzJ6EzcUB9e2Fjsd84Yl
2022-09-29 23:00,2022-09-29 23:59,Shahed-136/131,,Odesa oblast and Mykolaiv oblast,,7,5,kpszsu/posts/pfbid021aK2TqryAuB8gGrDYMTv3R8XiubgLAPeZiiRQJakECpBcJan1rbHcRpSEjf5ewCwl
2022-09-30,2022-09-30,Orlan-10,,Ukraine,,3,3,kpszsu/posts/pfbid0nELeXY4BpHrezv54Lk3gWPZJmcCmBTf1NS4GqP6pXQuU2tP8biUNoEWuvLCoJp5El
2022-10-01 12:00,2022-10-01 12:00,Orlan-10,,Ukraine,,1,1,watch/?v=375517448001233
2022-10-02 00:00,2022-10-02 02:00,Shahed-136/131,,Mykolaiv oblast,,7,5,kpszsu/posts/pfbid021aK2TqryAuB8gGrDYMTv3R8XiubgLAPeZiiRQJakECpBcJan1rbHcRpSEjf5ewCwl
2022-10-04 12:00,2022-10-05 12:00,Shahed-136/131,,Odesa oblast,,1,1,PvKPivden/posts/pfbid0EM5r4XVKtswhUh8p8WY4UeJpCuDWG3yby7abivrxfZBWeQEfw7Pju7kuZmePeqZjl
2022-10-05,2022-10-05 02:00,Shahed-136/131,,south,,6,6,kpszsu/posts/pfbid0ijKPtn19ybY71UFsnyhNA7YCx9iJ8gEGP3FwkiFzGR3975tXYXmnwCgWZJPHY8CGl
2022-10-05 11:30,2022-10-05 11:30,Orlan-10,,Ochakiv,,1,1,PvKPivden/posts/pfbid0UMArbZhTFUa2w6vQ2uAwe2AbQPtujfLKU4KMsbemxp2CN914h45GbZwakmuqcAgal
2022-10-06,2022-10-06 02:00,Shahed-136/131,,south,,9,9,kpszsu/posts/pfbid0cUxYK69qorY8Td3GYrEifznzmJdFsed1Q2pRKP4X5XkBR51WKSafqKz3Fnk3izGil
2022-10-06 09:00,2022-10-06 11:30,Mohajer-6,,Mykolaiv oblast,,1,1,kpszsu/posts/pfbid02YPkepucHoDQbmGfZURk8ScqNyMGEgm7ZoSW4Bhw9Y2AzgkmJrg3xy2BUV1WVpUFMl
2022-10-06 09:00,2022-10-06 11:30,Shahed-136/131,,Mykolaiv oblast,,2,2,kpszsu/posts/pfbid02YPkepucHoDQbmGfZURk8ScqNyMGEgm7ZoSW4Bhw9Y2AzgkmJrg3xy2BUV1WVpUFMl
2022-10-06 15:00,2022-10-06 20:00,Shahed-136/131,,south,,3,3,kpszsu/posts/pfbid0rxEnbpvxAg8d8J5NW9ABgghPzcbv8B8djBVzqg1QRFzXKwBSENc5SWsMsUJTWuPLl
2022-10-06 15:00,2022-10-06 20:00,Orlan-10,,south,,1,1,kpszsu/posts/pfbid0rxEnbpvxAg8d8J5NW9ABgghPzcbv8B8djBVzqg1QRFzXKwBSENc5SWsMsUJTWuPLl
2022-10-06 15:00,2022-10-06 20:00,Mohajer-6,,south,,1,1,kpszsu/posts/pfbid0rxEnbpvxAg8d8J5NW9ABgghPzcbv8B8djBVzqg1QRFzXKwBSENc5SWsMsUJTWuPLl
2022-10-07 20:00,2022-10-07 21:30,Shahed-136/131,,Odesa oblast and Mykolaiv oblast,,3,3,kpszsu/posts/pfbid026hagTWFWC9imHVLqQ4uBwCiVUDX7LWyrF1TudccwrPEYh5v2nX935ebj4afpGwXxl
2022-10-08 08:00,2022-10-08 08:00,Shahed-136/131,,Ukraine,,1,1,kpszsu/posts/pfbid02gUoyyNCK9No3UQx89CZDs4rND5MTegiuRz4zaFomMbJMxJaaLDjafqrKxACxFdYMl
2022-10-08 08:00,2022-10-08 08:00,Unknown UAV,,Ukraine,,2,2,kpszsu/posts/pfbid02gUoyyNCK9No3UQx89CZDs4rND5MTegiuRz4zaFomMbJMxJaaLDjafqrKxACxFdYMl
2022-10-09 00:30,2022-10-09 08:00,X-22,Ryazan oblast,Zaporizhzhia,6 x Tu-22M3,4,0,kpszsu/posts/pfbid02gUoyyNCK9No3UQx89CZDs4rND5MTegiuRz4zaFomMbJMxJaaLDjafqrKxACxFdYMl
2022-10-09 00:30,2022-10-09 08:00,X-59,Rostov oblast,Zaporizhzhia,7 x Su-35,2,1,kpszsu/posts/pfbid02gUoyyNCK9No3UQx89CZDs4rND5MTegiuRz4zaFomMbJMxJaaLDjafqrKxACxFdYMl
2022-10-09 00:30,2022-10-09 08:00,C-300,,Zaporizhzhia,,16,0,kpszsu/posts/pfbid02gUoyyNCK9No3UQx89CZDs4rND5MTegiuRz4zaFomMbJMxJaaLDjafqrKxACxFdYMl
2022-10-10 06:00,2022-10-10 14:00,X-101/X-555 and Kalibr,Caspian Sea and Black Sea,Ukraine,Tu-95MS and Tu-160 and Navi,84,43,GeneralStaff.ua/posts/pfbid02p2RAc57tGyV8pCbsa3sTXemdBgNzoSZXvdpQYHoRSSMBKBDrbLjLGoVx9QLiC8nSl
2022-10-10 06:00,2022-10-10 14:00,Unknown UAV,,Ukraine,,11,3,GeneralStaff.ua/posts/pfbid02p2RAc57tGyV8pCbsa3sTXemdBgNzoSZXvdpQYHoRSSMBKBDrbLjLGoVx9QLiC8nSl
2022-10-10 06:00,2022-10-10 14:00,Shahed-136/131,,Ukraine,,13,10,GeneralStaff.ua/posts/pfbid02p2RAc57tGyV8pCbsa3sTXemdBgNzoSZXvdpQYHoRSSMBKBDrbLjLGoVx9QLiC8nSl
